Timestamp,Your Gender,Your age (completed in years),Your weight (in Kg),Your Height (in cm),I like orange,I like grapes,I like banana,I like apple,I like mango,I like cherry
2022/11/22 11:11:31 AM GMT+5:30,Male,21,60,174,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally
2022/11/22 11:11:37 AM GMT+5:30,Male,21,105,172,seasonally,seasonally,not at all,seasonally,my favorite,seasonally
2022/11/22 11:12:22 AM GMT+5:30,Male,21,65,175,some what,seasonally,if no other fruits available,my favorite,seasonally,not at all
2022/11/22 11:12:57 AM GMT+5:30,Female,29,68,163,seasonally,some what,some what,some what,my favorite,some what
2022/11/22 11:13:00 AM GMT+5:30,Female,20,78,168,some what,if no other fruits available,if no other fruits available,not at all,my favorite,not at all
2022/11/22 11:13:16 AM GMT+5:30,Male,21,71,178.6,my favorite,my favorite,my favorite,my favorite,my favorite,some what
2022/11/22 11:13:21 AM GMT+5:30,Female,21,50,164,seasonally,if no other fruits available,my favorite,some what,my favorite,my favorite
2022/11/22 11:13:33 AM GMT+5:30,Female,35,73,165,seasonally,my favorite,seasonally,seasonally,my favorite,seasonally
2022/11/22 11:13:39 AM GMT+5:30,Male,21,66,173,my favorite,my favorite,seasonally,my favorite,my favorite,some what
2022/11/22 11:13:47 AM GMT+5:30,Female,21,55,168,my favorite,my favorite,seasonally,seasonally,seasonally,seasonally
2022/11/22 11:13:49 AM GMT+5:30,Female,21,55,153,seasonally,my favorite,some what,my favorite,seasonally,some what
2022/11/22 11:14:03 AM GMT+5:30,Female,22,54,154,some what,my favorite,if no other fruits available,my favorite,seasonally,some what
2022/11/22 11:14:04 AM GMT+5:30,Female,21,64,157,seasonally,seasonally,if no other fruits available,my favorite,my favorite,not at all
2022/11/22 11:14:17 AM GMT+5:30,Male,21,54,169,some what,some what,some what,my favorite,some what,some what
2022/11/22 11:14:22 AM GMT+5:30,Female,20,45,164,my favorite,my favorite,some what,some what,my favorite,some what
2022/11/22 11:14:33 AM GMT+5:30,Female,21,53,164,my favorite,some what,my favorite,seasonally,not at all,some what
2022/11/22 11:14:37 AM GMT+5:30,Female,21,52,162,some what,if no other fruits available,my favorite,some what,my favorite,if no other fruits available
2022/11/22 11:14:37 AM GMT+5:30,Male,22,60,170,some what,some what,my favorite,my favorite,my favorite,not at all
2022/11/22 11:14:41 AM GMT+5:30,Female,21,60,165,seasonally,some what,my favorite,seasonally,my favorite,seasonally
2022/11/22 11:14:44 AM GMT+5:30,Male,21,63,166,some what,my favorite,not at all,some what,seasonally,some what
2022/11/22 11:15:02 AM GMT+5:30,Male,21,83,177,my favorite,my favorite,some what,my favorite,seasonally,some what
2022/11/22 11:15:02 AM GMT+5:30,Female,22,59,153,my favorite,if no other fruits available,if no other fruits available,seasonally,my favorite,my favorite
2022/11/22 11:15:06 AM GMT+5:30,Female,21,54,166,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally
2022/11/22 11:15:08 AM GMT+5:30,Female,22,50,158,my favorite,my favorite,some what,my favorite,my favorite,my favorite
2022/11/22 11:15:23 AM GMT+5:30,Female,21,65,169,my favorite,my favorite,some what,my favorite,my favorite,my favorite
2022/11/22 11:15:57 AM GMT+5:30,Female,21,62,160,some what,my favorite,if no other fruits available,seasonally,seasonally,some what
2022/11/22 11:16:07 AM GMT+5:30,Female,30,65,160,my favorite,my favorite,seasonally,my favorite,my favorite,my favorite
2022/11/22 11:16:25 AM GMT+5:30,Female,21,55,162,some what,my favorite,some what,my favorite,seasonally,seasonally
2022/11/22 11:16:37 AM GMT+5:30,Female,21,42,160,my favorite,seasonally,my favorite,some what,my favorite,if no other fruits available
2022/11/22 11:17:12 AM GMT+5:30,Female,21,54,166,seasonally,seasonally,seasonally,my favorite,my favorite,seasonally
2022/11/22 11:17:41 AM GMT+5:30,Female,22,45,166,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite
2022/11/22 11:19:35 AM GMT+5:30,Male,21,75,180,some what,some what,some what,seasonally,my favorite,seasonally
2022/11/22 11:25:26 AM GMT+5:30,Female,22,59,150,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally
2022/11/22 11:30:38 AM GMT+5:30,Female,22,53,169,seasonally,if no other fruits available,my favorite,my favorite,my favorite,seasonally
2022/11/22 11:31:22 AM GMT+5:30,Female,21,51,163,seasonally,seasonally,if no other fruits available,seasonally,seasonally,if no other fruits available
2022/11/22 11:31:31 AM GMT+5:30,Female,21,62,165,seasonally,seasonally,some what,my favorite,my favorite,my favorite
2022/11/25 10:51:02 AM GMT+5:30,Female,21,62,163,seasonally,my favorite,seasonally,seasonally,my favorite,my favorite
2022/11/25 10:51:49 AM GMT+5:30,Female,22,53,169,my favorite,seasonally,my favorite,seasonally,my favorite,if no other fruits available
2022/11/25 10:51:49 AM GMT+5:30,Female,21,43,163,my favorite,my favorite,some what,some what,my favorite,if no other fruits available
2022/11/25 10:51:50 AM GMT+5:30,Female,21,65,165,seasonally,if no other fruits available,my favorite,some what,my favorite,not at all
2022/11/25 10:51:56 AM GMT+5:30,Female,21,54,167,seasonally,seasonally,seasonally,my favorite,my favorite,seasonally
2022/11/25 10:52:01 AM GMT+5:30,Female,22,65,165,seasonally,seasonally,my favorite,my favorite,seasonally,seasonally
2022/11/25 10:52:04 AM GMT+5:30,Female,22,48,154,my favorite,seasonally,if no other fruits available,not at all,not at all,some what
2022/11/25 10:52:06 AM GMT+5:30,Female,21,153,49,some what,my favorite,my favorite,if no other fruits available,my favorite,not at all
2022/11/25 10:52:09 AM GMT+5:30,Female,21,51,163,seasonally,seasonally,if no other fruits available,seasonally,seasonally,if no other fruits available
2022/11/25 10:52:19 AM GMT+5:30,Female,21,42,154,some what,if no other fruits available,my favorite,my favorite,seasonally,some what
2022/11/25 10:52:22 AM GMT+5:30,Female,21,45,158,seasonally,seasonally,my favorite,seasonally,my favorite,some what
2022/11/25 10:52:31 AM GMT+5:30,Female,21,53,162,if no other fruits available,my favorite,not at all,my favorite,my favorite,seasonally
2022/11/25 10:52:37 AM GMT+5:30,Female,21,60,163,seasonally,seasonally,seasonally,seasonally,my favorite,not at all
2022/11/25 10:52:38 AM GMT+5:30,Female,22,48,158,seasonally,seasonally,some what,seasonally,my favorite,my favorite
2022/11/25 10:52:39 AM GMT+5:30,Female,22,55,175,seasonally,my favorite,not at all,my favorite,my favorite,my favorite
